Date,Open,High,Low,Close,Volume,Adj Close
9/10/2014,58.419998,59.830002,57.07,57.5,2277000,57.5
10/10/2014,57.23,58.939999,53.119999,53.220001,3240800,53.220001
13/10/2014,54.200001,54.860001,49.610001,51.259998,4565200,51.259998
14/10/2014,51.869999,53.349998,50.369999,51.740002,1991600,51.740002
15/10/2014,50,54.400002,49.610001,53.43,2354300,53.43
16/10/2014,51.34,56.169998,51.299999,54.740002,2068400,54.740002
17/10/2014,56.220001,58.759998,55.759998,56.580002,2815000,56.580002
20/10/2014,55.740002,57.049999,54.849998,55.91,1696600,55.91
21/10/2014,56.529999,58.91,56,58.32,1719300,58.32
22/10/2014,57.98,58.209999,55.220001,55.700001,2567700,55.700001
23/10/2014,56.700001,61.5,56.41,59.830002,3720200,59.830002
24/10/2014,59.810001,63.75,59.650002,63.240002,3149100,63.240002
27/10/2014,62.700001,64,61.900002,62.549999,1648700,62.549999
28/10/2014,63.130001,67.080002,62.700001,66.57,3197800,66.57
29/10/2014,66.269997,66.269997,63.43,64.18,2371300,64.18
30/10/2014,63.799999,66.440002,63.41,65.699997,1737200,65.699997
31/10/2014,67,68.199997,64.730003,66.080002,2365400,66.080002
3/11/2014,65.910004,66.300003,63.869999,64.349998,1845400,64.349998
4/11/2014,64.349998,64.959999,62.880001,64.290001,1573600,64.290001
5/11/2014,65.080002,65.690002,62.169998,62.990002,1594800,62.990002
6/11/2014,64.540001,66.239998,63.779999,64.830002,1700500,64.830002
7/11/2014,66.290001,67.690002,65.309998,66.870003,2330600,66.870003
10/11/2014,67.089996,67.650002,65.730003,66.760002,1645000,66.760002
11/11/2014,66.730003,67.279999,65.830002,67.029999,1287000,67.029999
12/11/2014,66.75,69.18,66.739998,67.959999,2941700,67.959999
13/11/2014,68.389999,69.099998,65.43,67.360001,1960200,67.360001
14/11/2014,67.379997,68.970001,66.330002,68.349998,1445100,68.349998
17/11/2014,68.349998,68.93,64.400002,64.779999,2102600,64.779999
18/11/2014,65.07,67.07,64.800003,65.959999,2147200,65.959999
19/11/2014,65.5,65.889999,61.939999,63.900002,2403400,63.900002
20/11/2014,62.75,65.110001,62.060001,64.940002,2583100,64.940002
21/11/2014,71,72.25,66.75,66.93,6509500,66.93
24/11/2014,66.949997,68.400002,65.760002,66.959999,2519900,66.959999
25/11/2014,66.900002,67.870003,65.010002,65.629997,1872300,65.629997
26/11/2014,65.660004,68.110001,64.889999,68.010002,1683800,68.010002
28/11/2014,68.07,68.209999,66.849998,67.099998,659900,67.099998
1/12/2014,66.889999,67,63.5,63.73,1853900,63.73
2/12/2014,63.919998,64.139999,62.189999,63.189999,1628800,63.189999
3/12/2014,63.5,64.050003,62.459999,63.630001,1118800,63.630001
4/12/2014,63.700001,65.559998,62.950001,64.029999,1348100,64.029999
5/12/2014,64.199997,66.510002,63.959999,65.849998,1459100,65.849998
8/12/2014,67.959999,67.959999,62.490002,62.810001,1940600,62.810001
9/12/2014,61.290001,62.720001,59.619999,62.610001,2506300,62.610001
10/12/2014,62.209999,62.860001,58.91,59.52,1965100,59.52
11/12/2014,59.950001,61.540001,56.98,57.259998,3182300,57.259998
12/12/2014,56.240002,57.07,55.400002,55.77,2376300,55.77
15/12/2014,56.509998,56.959999,54.189999,54.869999,2232100,54.869999
16/12/2014,54.220001,55.759998,53.540001,53.75,2264600,53.75
17/12/2014,53.900002,57,53.900002,56.619999,1837000,56.619999
18/12/2014,57.77,59.66,57.540001,59.189999,2476400,59.189999
19/12/2014,59.360001,62.23,59.25,61.610001,2563800,61.610001
22/12/2014,61.389999,62.200001,60.66,61.450001,1495200,61.450001
23/12/2014,61.759998,62.799999,61.459999,61.599998,1337900,61.599998
24/12/2014,61.560001,62.119999,61.259998,61.490002,499200,61.490002
26/12/2014,61.630001,64,61.029999,62.98,1163700,62.98
29/12/2014,62.82,63.119999,60.98,61.700001,739700,61.700001
30/12/2014,61.080002,61.220001,59.220001,59.77,926800,59.77
31/12/2014,60.09,60.740002,58.869999,58.950001,891900,58.950001
2/01/2015,59.310001,59.950001,57.279999,58.790001,960700,58.790001
5/01/2015,58.279999,59.169998,56.040001,56.84,2104700,56.84
6/01/2015,57.139999,57.450001,53.779999,55.779999,2021400,55.779999
7/01/2015,57.099998,57.57,55.330002,56.25,1327500,56.25
8/01/2015,56.869999,58.540001,56.330002,58.450001,1437100,58.450001
9/01/2015,58.52,58.970001,56.59,57.639999,1323300,57.639999
12/01/2015,57.439999,57.650002,56.209999,57.099998,1069300,57.099998
13/01/2015,57.740002,59.59,56.18,57.310001,1241800,57.310001
14/01/2015,55.919998,57.259998,55.099998,57,1265900,57
15/01/2015,56.98,57.490002,53.919998,54.169998,1420700,54.169998
16/01/2015,54.049999,55.68,53.849998,55.279999,1362100,55.279999
20/01/2015,55.34,55.48,53.77,54.939999,909800,54.939999
21/01/2015,54.669998,56.169998,54.02,55.650002,1599800,55.650002
22/01/2015,56.029999,56.43,54.330002,55.939999,1321300,55.939999
23/01/2015,55.66,57.52,55.450001,56.889999,1160500,56.889999
26/01/2015,56.900002,57.27,55.66,56.740002,1132700,56.740002
27/01/2015,55.98,56.299999,54.32,55.529999,861700,55.529999
28/01/2015,55.900002,56.279999,53.32,53.41,1217400,53.41
29/01/2015,53.380001,54.040001,51.779999,53.689999,1989200,53.689999
30/01/2015,53.48,53.5,51.599998,51.650002,1444600,51.650002
2/02/2015,52.080002,53.68,51.41,53.349998,2320200,53.349998
3/02/2015,53.400002,55.639999,53.310001,55.599998,1930300,55.599998
4/02/2015,55.279999,56.66,55.130001,56.189999,1728800,56.189999
5/02/2015,58.700001,61.150002,57.610001,61.060001,2896100,61.060001
6/02/2015,61.52,62.93,60.91,62.459999,2029200,62.459999
9/02/2015,62,62.02,60.09,60.48,1674900,60.48
10/02/2015,61.110001,61.110001,58.759998,58.990002,1723500,58.990002
11/02/2015,58.919998,60.900002,58.419998,60.599998,1042700,60.599998
