Date,Open,High,Low,Close,Volume,Adj Close
9/10/2014,7.51,7.51,7.43,7.44,8400,7.172238
10/10/2014,7.36,7.4,7.29,7.31,533600,7.046916
13/10/2014,7.34,7.34,7.21,7.22,34100,6.960155
14/10/2014,7.39,7.5,7.39,7.46,448200,7.191518
15/10/2014,7.45,7.57,7.39,7.45,107700,7.181878
16/10/2014,7.31,7.55,7.31,7.5,367000,7.230079
17/10/2014,7.68,7.69,7.54,7.64,526400,7.36504
20/10/2014,7.46,7.55,7.46,7.5,46300,7.230079
21/10/2014,7.6,7.65,7.59,7.65,49800,7.374681
22/10/2014,7.45,7.51,7.42,7.44,86800,7.172238
23/10/2014,7.43,7.49,7.43,7.47,63800,7.201158
24/10/2014,7.43,7.46,7.41,7.46,22200,7.191518
27/10/2014,7.45,7.45,7.39,7.44,30000,7.172238
28/10/2014,7.4,7.5,7.37,7.45,311300,7.181878
29/10/2014,7.56,7.56,7.28,7.45,23400,7.181878
30/10/2014,7.19,7.2,7.14,7.19,1037300,6.931235
31/10/2014,7.37,7.37,7.2,7.24,68500,6.979435
3/11/2014,7.03,7.5,7.03,7.35,239600,7.085477
4/11/2014,7.17,7.19,7.05,7.17,369300,6.911955
5/11/2014,7.13,7.18,7.09,7.16,748600,6.902315
6/11/2014,7,7.01,6.95,6.97,1431500,6.719153
7/11/2014,7.15,7.15,7.05,7.1,2446400,6.844474
10/11/2014,7.25,7.25,7.14,7.14,44200,6.883035
11/11/2014,7.1,7.11,7.04,7.07,53400,6.815554
12/11/2014,7.35,7.41,7.34,7.38,48400,7.114398
13/11/2014,7.56,7.58,7.5,7.54,29000,7.268639
14/11/2014,7.4,7.46,7.4,7.42,43700,7.152958
17/11/2014,7.4,7.4,7.25,7.28,42300,7.017996
18/11/2014,7.32,7.37,7.31,7.37,48000,7.104757
19/11/2014,7.39,7.45,7.39,7.44,54100,7.172238
20/11/2014,7.25,7.25,7.23,7.25,22900,6.989076
21/11/2014,7.5,7.5,7.44,7.45,99000,7.181878
24/11/2014,7.47,7.47,7.42,7.45,35200,7.181878
25/11/2014,7.37,7.46,7.37,7.44,64800,7.172238
26/11/2014,7.46,7.55,7.45,7.52,29900,7.249359
